Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)
"17.4","62.24","33R","WID SMD 33R 1% 0,05W","R12","RESC0603X26N","Bottom","25021","1","90","","01","","33","25021","0603 (0201)","SMT","Yes","","1%","","","17.4","62.24"
"18.72","62.23","12K","WID SMD 12K 1% 0,063W","R13","RESC1005X40N","Bottom","22598","1","270","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","18.72","62.23"
"19.62","62.23","12K","WID SMD 12K 1% 0,063W","R14","RESC1005X40N","Bottom","22598","1","270","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","19.62","62.23"
"20.55","62.23","12K","WID SMD 12K 1% 0,063W","R15","RESC1005X40N","Bottom","22598","1","270","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","20.55","62.23"
"30.18","56.9","1K13","WID SMD 1K13 1% 0,063W","R16","RESC1005X40N","Top","23160","1","0","","01","","1.13K","23160","1005 (0402)","SMT","Yes","","1%","","","30.18","56.9"
"16.44","27.87","33R","WID SMD 33R 1% 0,05W","R17","RESC0603X26N","Top","25021","1","0","","01","","33","25021","0603 (0201)","SMT","Yes","","1%","","","16.44","27.87"
"16.44","28.69","33R","WID SMD 33R 1% 0,05W","R18","RESC0603X26N","Top","25021","1","0","","01","","33","25021","0603 (0201)","SMT","Yes","","1%","","","16.44","28.69"
"12.209","23.754","2K61","WID SMD 2K61 1% 0,063W","R19","RESC1005X40N","Top","23730","1","0","","01","","2.61K","23730","1005 (0402)","SMT","Yes","","1%","","","12.209","23.754"
"15.359","28.275","1K13","WID SMD 1K13 1% 0,063W","R20","RESC1005X40N","Top","23160","1","90","","01","","1.13K","23160","1005 (0402)","SMT","Yes","","1%","","","15.359","28.275"
"12.2","24.68","0R","WID SMD 0R 1% 0.063W AEC-Q200","R21","RESC1005X40N","Top","26222","1","180","","01","","0","26222","1005 (0402)","SMT","Yes","","","","","12.2","24.68"
"28.735","22.957","80R6","WID SMD 80R6 1% 0,063W","R22","RESC1005X40N","Top","25100","1","90","","01","","80.6","25100","1005 (0402)","SMT","Yes","","1%","","","28.735","22.957"
"29.645","22.961","80R6","WID SMD 80R6 1% 0,063W","R23","RESC1005X40N","Top","25100","1","90","","01","","80.6","25100","1005 (0402)","SMT","Yes","","1%","","","29.645","22.961"
"29.652","22.95","240R","WID SMD 240R 1% 0,063W","R24","RESC1005X40N","Bottom","23661","1","90","","01","","240","23661","1005 (0402)","SMT","Yes","","1%","","","29.652","22.95"
"28.718","22.963","240R","WID SMD 240R 1% 0,063W","R25","RESC1005X40N","Bottom","23661","1","270","","01","","240","23661","1005 (0402)","SMT","Yes","","1%","","","28.718","22.963"
"43.11","28.75","200K","WID SMD 200K 1% 0,063W","R26","RESC1005X40N","Bottom","23846","1","0","","01","","200K","23846","1005 (0402)","SMT","Yes","","1%","","","43.11","28.75"
"44.85","28.75","301K","WID SMD 301K 1% 0,063W","R27","RESC1005X40N","Bottom","26224","1","0","","01","","301k","26224","1005 (0402)","SMT","","","1%","","","44.85","28.75"
"7.23","43.35","12K","WID SMD 12K 1% 0,063W","R28","RESC1005X40N","Top","22598","1","270","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","7.23","43.35"
"6.97","50.02","12K","WID SMD 12K 1% 0,063W","R29","RESC1005X40N","Top","22598","1","0","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","6.97","50.02"
"20.41","27.18","33R","WID SMD 33R 1% 0,05W","R30","RESC0603X26N","Bottom","25021","1","90","","01","","33","25021","0603 (0201)","SMT","Yes","","1%","","","20.41","27.18"
"9.933","37.22","1K13","WID SMD 1K13 1% 0,063W","R31","RESC1005X40N","Top","23160","1","90","","01","","1.13K","23160","1005 (0402)","SMT","Yes","","1%","","","9.933","37.22"
"16.77","38.46","12K","WID SMD 12K 1% 0,063W","R32","RESC1005X40N","Top","22598","1","270","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","16.77","38.46"
"16.85","34.44","12K","WID SMD 12K 1% 0,063W","R33","RESC1005X40N","Top","22598","1","90","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","16.85","34.44"
"9.89","39.8","12K","WID SMD 12K 1% 0,063W","R34","RESC1005X40N","Top","22598","1","90","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","9.89","39.8"
"48.16","47.22","12K","WID SMD 12K 1% 0,063W","R35","RESC1005X40N","Bottom","22598","1","180","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","48.16","47.22"
